weeks_since_heatwave,heatwave,adapted_temp,population_id,alive,dead
12,1,35,1,83,0
12,1,35,2,144,1
12,1,35,3,117,0
12,1,35,4,144,0
12,1,35,5,149,0
12,1,35,6,1,0
12,1,35,7,118,0
12,1,35,8,0,
12,1,35,9,136,0
12,1,35,10,1,0
18,0,25,1,182,1
18,0,25,2,212,0
18,0,25,3,194,0
18,0,25,4,207,0
18,0,25,5,190,0
18,0,25,6,199,2
18,0,25,7,192,1
18,0,25,8,251,0
18,0,25,9,196,0
18,0,25,10,207,1
18,0,30,1,210,0
18,0,30,2,184,0
18,0,30,3,193,0
18,0,30,4,172,0
18,0,30,5,213,0
18,0,30,6,197,1
18,0,30,7,174,1
18,0,30,8,164,0
18,0,30,9,229,2
18,0,30,10,216,0
18,0,35,1,250,8
18,0,35,2,257,0
18,0,35,3,283,3
18,0,35,4,247,5
18,0,35,5,298,1
18,0,35,6,259,1
18,0,35,7,255,1
18,0,35,8,237,4
18,0,35,9,271,1
18,0,35,10,264,0
18,1,25,1,3,0
18,1,25,2,102,0
18,1,25,3,7,0
18,1,25,4,130,0
18,1,25,5,139,0
18,1,25,6,173,0
18,1,25,7,184,0
18,1,25,8,124,0
18,1,25,9,167,0
18,1,25,10,108,1
18,1,30,1,176,0
18,1,30,2,155,0
18,1,30,3,171,0
18,1,30,4,159,0
18,1,30,5,173,0
18,1,30,6,97,0
18,1,30,7,194,0
18,1,30,8,141,1
18,1,30,9,164,0
18,1,30,10,128,1
18,1,35,1,126,0
18,1,35,2,176,0
18,1,35,3,157,0
18,1,35,4,191,0
18,1,35,5,175,0
18,1,35,6,1,0
18,1,35,7,144,0
18,1,35,8,0,0
18,1,35,9,160,0
18,1,35,10,1,0
